Formulation,Dispersent Type,Solid Content (%),Solid Additive (%),Viscosity at shear rate 1 1/s,Viscosity at shear rate 10 1/s,Viscosity at shear rate 100 1/s,,,,,,,,,,,
'F3','Hypermer',73,0.5,5.98323,3.36701,2.34759,,,,,,,,,,,
'F3','Hypermer',73,0.5,12.1759,6.3256,2.71829,,,,,,,,,,,
'F3','Hypermer',73,0.5,6.33077,3.35258,2.30837,,,,,,,,,,,
'F1','none',73,0,31.1306,8.76105,3.94637,,,,,,,,,,,
'F1','none',77,0,272.664,38.1026,10.2869,,,,,,,,,,,
'F1','none',73,0,26.6677,8.68176,3.68149,,,,,,,,,,,
'F1','none',77,0,145.298,26.7343,8.55904,,,,,,,,,,,
'F1','none',77,0,111.047,19.7248,5.93555,,,,,,,,,,,
'F1','none',69,0,7.69785,2.82971,0.95234,,,,,,,,,,,
'F1','none',69,0,5.98333,3.51072,1.55337,,,,,,,,,,,
'F1','none',69,0,5.69122,3.46015,1.5499,,,,,,,,,,,
'F1','none',73,0,136.426,15.7176,4.00094,,,,,,,,,,,
'F1','none',77,0,290.132,38.024,9.56538,,,,,,,,,,,
'F1','none',69,0,5.19155,2.76651,1.08728,,,,,,,,,,,
'F1','none',73,0,156.596,16.7108,4.18925,,,,,,,,,,,
'F2','none',73,0,5.01842,3.26975,1.74112,,,,,,,,,,,
'F2','none',73,0,3.36407,1.46143,0.74888,,,,,,,,,,,
'F2','none',73,0,15.9984,4.19043,1.78866,,,,,,,,,,,
'F3','none',73,0,4.17329,3.1711,2.23806,,,,,,,,,,,
'F3','none',73,0,5.16984,4.16551,2.94644,,,,,,,,,,,
'F3','none',73,0,5.84084,4.20573,2.84946,,,,,,,,,,,
'F1','none',74,0,46.375,14.6302,5.73248,,,,,,,,,,,
'F1','Tego',73,0.5,8.4196,5.14894,2.87789,,,,,,,,,,,
'F1','Tego',77,0.25,47.4365,17.9263,7.49386,,,,,,,,,,,
'F1','Tego',77,0.5,58.083,13.6388,4.83647,,,,,,,,,,,
'F1','Tego',69,0.25,5.17639,3.23616,1.47255,,,,,,,,,,,
'F1','Tego',77,0.25,240.2,40.2145,10.4167,,,,,,,,,,,
'F1','Tego',77,0.25,249.96,49.5907,12.6065,,,,,,,,,,,
'F1','Tego',77,0.5,128.918,31.9626,9.70107,,,,,,,,,,,
'F1','Tego',77,0.5,86.226,22.9894,8.08975,,,,,,,,,,,
'F1','Tego',73,0.25,72.8083,13.6946,4.10114,,,,,,,,,,,
'F1','Tego',69,0.5,5.38375,3.10877,1.45976,,,,,,,,,,,
'F1','Tego',73,0.25,46.5445,8.31168,2.60581,,,,,,,,,,,
'F1','Tego',73,0.5,49.4251,10.8197,3.77266,,,,,,,,,,,
'F1','Tego',73,0.5,7.625,4.75792,2.5828,,,,,,,,,,,
'F1','Tego',69,0.25,2.76136,1.96867,0.87028,,,,,,,,,,,
'F1','Tego',69,0.5,5.43188,2.71165,1.27474,,,,,,,,,,,
'F1','Tego',69,0.25,1.6948,1.35762,0.82332,,,,,,,,,,,
'F1','Tego',73,0.25,71.2038,12.7829,3.81252,,,,,,,,,,,
'F1','Tego',69,0.5,3.05607,2.12471,0.98948,,,,,,,,,,,
'F2','Tego',73,0.5,2.63165,1.39068,0.91751,,,,,,,,,,,
'F2','Tego',73,0.5,3.14684,2.21102,1.48558,,,,,,,,,,,
'F2','Tego',73,0.5,3.38199,2.27613,1.41688,,,,,,,,,,,
'F3','Tego',73,0.5,2.50246,1.4635,1.06634,,,,,,,,,,,
'F3','Tego',73,0.5,5.36933,4.0552,2.77696,,,,,,,,,,,
'F3','Tego',73,0.5,7.35892,5.58439,3.78571,,,,,,,,,,,
'F1','Triton',73,0.5,25.2177,7.34376,3.48143,,,,,,,,,,,
'F1','Triton',77,0.25,170.996,33.4723,9.03654,,,,,,,,,,,
'F1','Triton',77,0.25,158.459,29.8562,8.77973,,,,,,,,,,,
'F1','Triton',69,0.5,29.4804,5.81688,2.05295,,,,,,,,,,,
'F1','Triton',69,0.25,25.0091,4.96961,1.73152,,,,,,,,,,,
'F1','Triton',73,0.5,94.5329,11.2139,3.24706,,,,,,,,,,,
'F1','Triton',77,0.25,324.694,44.6523,10.71,,,,,,,,,,,
'F1','Triton',73,0.25,185.901,19.4554,4.60307,,,,,,,,,,,
'F1','Triton',73,0.25,147.201,18.9663,5.15083,,,,,,,,,,,
'F1','Triton',69,0.5,24.9953,6.17731,2.19434,,,,,,,,,,,
'F1','Triton',77,0.5,170.951,31.5346,8.14996,,,,,,,,,,,
'F1','Triton',73,0.5,74.3266,12.0211,3.74962,,,,,,,,,,,
'F1','Triton',77,0.5,135.301,30.3765,8.98031,,,,,,,,,,,
'F1','Triton',73,0.25,51.0333,10.2312,4.01773,,,,,,,,,,,
'F1','Triton',69,0.25,6.64448,2.77288,1.0306,,,,,,,,,,,
'F1','Triton',69,0.25,3.27168,2.29489,1.02103,,,,,,,,,,,
'F1','Triton',69,0.5,8.22356,3.9232,1.62568,,,,,,,,,,,
'F1','Triton',77,0.5,223.123,36.742,9.6616,,,,,,,,,,,
'F2','Triton',73,0.5,4.67554,2.42371,1.32127,,,,,,,,,,,
'F2','Triton',73,0.5,138.411,10.8621,2.27298,,,,,,,,,,,
'F2','Triton',73,0.5,28.9827,5.183,1.82059,,,,,,,,,,,
'F3','Triton',73,0.5,3.70434,2.55388,1.83148,,,,,,,,,,,
'F3','Triton',73,0.5,4.51911,3.68991,2.60894,,,,,,,,,,,
'F3','Triton',73,0.5,4.7821,3.8225,2.67456,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
