Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,NMC_pct,C65_pct,KS6L_pct,PVDF_pct,Source_Batch,Solid_to_Liquid_Ratio,Binder_to_Active_Ratio,row_index,Composite_Mix_ID,model_name,eta_inf_sisko,k_sisko,n_sisko,curve_rmse,curve_r2,curve_mse
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,0,F1_Hypermer_73.0_0.25,sisko,3.0503367076970256,68.60156329229393,0.2064093300722154,5.457318709897018e-12,1.0,2.978232750139205e-23
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,1,F1_Hypermer_73.0_0.25,sisko,1.040512183054934,8.605877816876523,0.41307280040796174,5.237208659257514e-11,1.0,2.742835454060189e-21
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,2,F1_Hypermer_77.0_0.25,sisko,3.4303370444712176,57.68036295494783,0.42491521755809253,4.3789665272934827e-10,1.0,1.9175347847156745e-19
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,3,F1_Hypermer_73.0_0.25,sisko,0.000100000000000001,8.641692850917252,0.7198640410351635,0.23635986216014157,0.9909768103936427,0.05586598444036112
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,4,F1_Hypermer_77.0_0.25,sisko,4.007390186782408,158.7686098776894,0.19678797313500695,3.892477809018025e-08,1.0,1.5151383493697764e-15
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,5,F1_Hypermer_69.0_0.5,sisko,0.8568767954946744,4.124643204397462,0.54738800901394,1.312080528503229e-10,1.0,1.721555313277313e-20
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,6,F1_Hypermer_69.0_0.5,sisko,0.4858006126860352,2.5643293870663078,0.5042567369840739,2.485952337603116e-10,1.0,6.179959024834398e-20
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,7,F1_Hypermer_69.0_0.5,sisko,0.4359824478583515,2.4319175521414307,0.4212867744499637,1.667391866344611e-13,1.0,2.7801956359521654e-26
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,8,F1_Hypermer_77.0_0.25,sisko,4.941693194157315,162.8103068058433,0.20492877351567673,3.7189972410663277e-13,1.0,1.3830940479058956e-25
Hypermer,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,9,F2_Hypermer_73.0_0.5,sisko,0.4925242666451226,3.5869157267030096,0.3846012239517975,4.995062666421878e-09,1.0,2.495065104148164e-17
Hypermer,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,10,F2_Hypermer_73.0_0.5,sisko,0.00010000000282893582,6.801207662742551,0.5502116283225252,0.04394586526918145,0.9996874765015781,0.0019312390742570482
Hypermer,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,11,F2_Hypermer_73.0_0.5,sisko,0.4200857982158511,4.325444201739521,0.4419669890500651,3.4057735739874543e-11,1.0,1.1599293637271278e-21
Hypermer,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,12,F3_Hypermer_73.0_0.5,sisko,1.6967776539236006,4.286452342178106,0.5906788934078109,7.268429715350576e-09,1.0,5.283007052699126e-17
Hypermer,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,13,F3_Hypermer_73.0_0.5,sisko,0.0001000000000032229,12.567029142431172,0.6743915355057639,0.3219811625976828,0.9931737479689369,0.10367186906775544
Hypermer,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,14,F3_Hypermer_73.0_0.5,sisko,1.744571754969493,4.586198243673878,0.5448354484401975,2.1065929750583104e-09,1.0,4.437733962565023e-18
none,73.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,15,F1_none_73.0_0.0,sisko,2.625873546489597,28.50472644432092,0.3329101808236366,6.057143576386673e-09,1.0,3.668898830496234e-17
none,73.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,16,F1_none_73.0_0.0,sisko,1.756082983611583,24.911617004941995,0.44406031629625553,8.838461257956932e-09,1.0,7.811839740840562e-17
none,69.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,17,F1_none_69.0_0.0,sisko,0.00010000052396521386,7.81185006803748,0.5461918913931437,0.0815511512965781,0.9991769661136332,0.006650590277797372
none,69.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,18,F1_none_69.0_0.0,sisko,0.00010000000000038068,6.271419083689042,0.7071565684013098,0.2503518247406466,0.980923482354797,0.06267603615097143
