Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,NMC_pct,C65_pct,KS6L_pct,PVDF_pct,Source_Batch,Solid_to_Liquid_Ratio,Binder_to_Active_Ratio,row_index,Composite_Mix_ID,model_name,eta_0,eta_inf,lambda_time,n,a,curve_rmse,curve_r2,curve_mse
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,0,F1_Hypermer_73.0_0.25,constrained_cy,972.3432464982842,0.01,99.999907681589,0.41363203811372184,2.0,4.011424890175844,0.9815875760439573,16.091529649522283
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,1,F1_Hypermer_73.0_0.25,constrained_cy,54.3158223036977,0.01,99.9999883644085,0.610925547636185,2.0,0.4255978116099482,0.9848879586070898,0.18113349724717698
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,2,F1_Hypermer_77.0_0.25,constrained_cy,476.3203349753801,0.01,99.99998517928724,0.5445434162271656,2.0,1.82344620148259,0.9937552897130812,3.3249560497012864
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,3,F1_Hypermer_73.0_0.25,constrained_cy,8.850668700528622,0.01,0.6407583716112849,0.6757432009953688,2.0,3.622068440958414e-12,1.0,1.3119379790986915e-23
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,4,F1_Hypermer_77.0_0.25,constrained_cy,3112.0639621950677,0.01,99.99999203635923,0.34372420090550715,2.0,6.990185567392092,0.9896081462686602,48.8626942665767
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,5,F1_Hypermer_69.0_0.5,constrained_cy,17.471715792198182,0.01,99.99999999301178,0.7184138881803307,2.0,0.16315787959563682,0.9886231084036274,0.02662049367414432
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,6,F1_Hypermer_69.0_0.5,constrained_cy,11.970146551575416,0.01,99.99999973502963,0.6921530704622926,2.0,0.11382788940632575,0.9865348100822012,0.012956788406698725
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,7,F1_Hypermer_69.0_0.5,constrained_cy,12.879192585422402,0.01,99.99973181297948,0.6589125728658918,2.0,0.13911576275484427,0.9796237854456837,0.01935319544686212
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,8,F1_Hypermer_77.0_0.25,constrained_cy,2858.6763692344825,0.01,99.99999957542553,0.36751864113360655,2.0,7.7859413607592085,0.9876933895904029,60.62088287318096
Hypermer,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,9,F2_Hypermer_73.0_0.5,constrained_cy,22.284716340765222,0.01,99.99992076509798,0.6153100909370152,2.0,0.20468532472378292,0.9803773066071015,0.04189608215728046
Hypermer,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,10,F2_Hypermer_73.0_0.5,constrained_cy,9.477320794479663,0.01,1.8266728078649683,0.5347445808195616,2.0,3.0535562982127973e-13,1.0,9.324206066355042e-26
Hypermer,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,11,F2_Hypermer_73.0_0.5,constrained_cy,28.804629559296433,0.01,99.99999784495584,0.597014555964337,2.0,0.1695092873820956,0.9902388696940125,0.028733398508785882
Hypermer,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,12,F3_Hypermer_73.0_0.5,constrained_cy,14.742110655030116,0.01,99.99991582427965,0.7962361195196176,2.0,0.19345520847420686,0.9840380528434001,0.037424917685798836
Hypermer,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,13,F3_Hypermer_73.0_0.5,constrained_cy,13.153179336716299,0.01,0.7209123750472045,0.6307679043235069,2.0,4.277324957568296e-10,1.0,1.8295508792636624e-19
Hypermer,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,14,F3_Hypermer_73.0_0.5,constrained_cy,16.654849046874237,0.01,99.99999459592318,0.7802685486217054,2.0,0.2422616729186135,0.9797925520969343,0.05869071816532528
none,73.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,15,F1_none_73.0_0.0,constrained_cy,227.64037112667413,0.01,99.99999988481774,0.5509394611436111,2.0,1.6086743344701036,0.9815529614252314,2.5878331143828306
none,73.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,16,F1_none_73.0_0.0,constrained_cy,185.30244663219156,0.01,99.99341768186636,0.5694590940093126,2.0,0.8096644639986086,0.9932714555511477,0.6555565442621542
