Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,NMC_pct,C65_pct,KS6L_pct,PVDF_pct,Source_Batch,Solid_to_Liquid_Ratio,Binder_to_Active_Ratio,row_index,Composite_Mix_ID,model_name,eta_0,eta_inf,lambda_time,n,a,curve_rmse,curve_r2,curve_mse
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,0,F1_Hypermer_73.0_0.25,cy5,344.542065694048,3.0503367192296764,7.556918180176944,0.20640932872381176,9.979436845394,8.092172243493307e-08,1.0,6.54832516183635e-15
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,1,F1_Hypermer_73.0_0.25,cy5,12.703299328265048,1.0416314630565116,1.6745915198934422,0.41244732274772583,8.154838746919408,3.452596179333394e-08,0.9999999999999999,1.1920420377547553e-15
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,2,F1_Hypermer_77.0_0.25,cy5,66.80314105498046,3.6618676000859285,1.1109327886538547,0.406158103968627,7.159025090061173,6.984743960723216e-09,1.0,4.878664819685944e-17
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,3,F1_Hypermer_73.0_0.25,cy5,12.909298488795072,0.13331904745252504,0.7736479822387721,0.6059816584285456,0.5601401849463876,1.124349465756838e-09,1.0,1.2641617211476868e-18
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,4,F1_Hypermer_77.0_0.25,cy5,215.44421056704846,4.027883254187015,1.420831174847702,0.19487360217439542,8.997903980246024,4.61022726452374e-09,1.0,2.1254195430558048e-17
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,5,F1_Hypermer_69.0_0.5,cy5,8.74509860511421,0.8568917195532352,4.189319463236397,0.5473829999371133,8.005113904877291,4.016468862823824e-06,0.9999999999931056,1.61320221260333e-11
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,6,F1_Hypermer_69.0_0.5,cy5,5.956033280037103,0.4858014576316568,4.610118193504317,0.5042557823205475,7.040528733946309,1.792144110434097e-10,1.0,3.2117805125636206e-20
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,7,F1_Hypermer_69.0_0.5,cy5,5.14756303389584,0.43598284260690623,3.1354698013394153,0.4212860287320566,9.441122827328046,3.7440039059423556e-14,1.0,1.4017565247711617e-27
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,8,F1_Hypermer_77.0_0.25,cy5,295.91949491673404,4.9579911122604265,2.066007387211851,0.20350485086024336,5.458173491897875,1.478370480484348e-07,1.0,2.185579277567522e-14
Hypermer,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,9,F2_Hypermer_73.0_0.5,cy5,7.642299117538593,0.49402785826945567,3.0351865547779204,0.3822436225983739,3.4003088818705693,1.0735792044192787e-09,1.0,1.1525723081615314e-18
Hypermer,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,10,F2_Hypermer_73.0_0.5,cy5,7.551636323527537,0.003731008209817209,1.1321183323430812,0.5371611638201957,3.931518911634806,7.984657534397336e-10,1.0,6.375475594160815e-19
Hypermer,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,11,F2_Hypermer_73.0_0.5,cy5,8.430768257189502,0.42008704272869385,3.017231463663998,0.4419658127569457,9.349017461556887,7.939227419485823e-09,1.0,6.303133201831553e-17
Hypermer,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,12,F3_Hypermer_73.0_0.5,cy5,8.939372066611412,1.6967783364195153,3.6018132877073694,0.5906786149758337,9.106684474007045,1.45661712140294e-13,1.0,2.121733438364187e-26
Hypermer,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,13,F3_Hypermer_73.0_0.5,cy5,13.024941833537069,0.21105989349487095,0.6634963175541322,0.6111232353800478,2.040577543898792,5.9957856690139275e-09,1.0,3.5949445788752787e-17
Hypermer,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,14,F3_Hypermer_73.0_0.5,cy5,10.11233582932894,1.7445880620347847,3.747640779731273,0.5448308978570982,9.949140448793692,3.94885089495251e-06,0.9999999999946311,1.5593423390567243e-11
none,73.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,15,F1_none_73.0_0.0,cy5,49.55350219520362,2.6406807480436423,2.08124965049557,0.3290620283358833,4.233270867203234,5.301246461536065e-08,1.0,2.810321404594865e-15
none,73.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,16,F1_none_73.0_0.0,cy5,49.20824554722443,1.75679286059334,3.185261174271423,0.44394468360636796,5.419677768807768,7.968861060183615e-09,1.0,6.350274659651075e-17
none,69.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,17,F1_none_69.0_0.0,cy5,7.716639559782878,0.3393384626013093,0.5952365258259741,0.3911972207290969,6.824427414655269,1.782852152539272e-08,1.0,3.178561797813915e-16
none,69.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,18,F1_none_69.0_0.0,cy5,6.2258114667636315,0.005747076381100753,0.48395428622165587,0.6414484729966182,1.9546038423786878,7.313651450878135e-08,0.9999999999999983,5.348949754493184e-15
none,69.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,19,F1_none_69.0_0.0,cy5,5.700134190673443,0.009160343310932304,0.4169119833529038,0.6497272949833606,4.461865605381713,1.5437865362075496e-09,1.0,2.383276869375704e-18
none,73.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,20,F1_none_73.0_0.0,cy5,413.6998750916759,2.3411972201524316,3.4222500103058464,0.05000000000306929,9.999979597935011,3.655570332402163,0.996270064981305,13.36319445513886
none,69.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,21,F1_none_69.0_0.0,cy5,7.932616256404287,0.0023700313158377,0.4499564192291244,0.5015722299457198,0.5753574576913023,6.584239827435653e-11,1.0,4.3352214105189884e-21
none,73.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,22,F1_none_73.0_0.0,cy5,569.4029642616297,2.310800761077073,4.26439593930891,0.05000000000000001,9.999999999999098,6.593220540545005,0.9908914444109622,43.47055709626457
none,73.0,0.0,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,23,F2_none_73.0_0.0,cy5,5.037352372210486,0.02688735367715694,0.4809530022244694,0.7230797605959195,3.9503149171195875,2.2776022446083507e-09,1.0,5.187471984644997e-18
none,73.0,0.0,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,24,F2_none_73.0_0.0,cy5,5.312344201567886,0.32225224277433195,3.191491336518807,0.5734576114193364,8.884090976637301,1.8836528260931428e-11,1.0,3.5481479692486835e-22
none,73.0,0.0,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,25,F2_none_73.0_0.0,cy5,20.398078940506196,1.1774540551184,1.4508035072973082,0.3071919053929152,9.459364747899848,7.042877532287352e-11,1.0,4.960212393479797e-21
none,74.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.8461538460443787,0.020408163265097874,26,F1_none_74.0_0.0,cy5,58.706308756277906,2.2738479021372986,1.5590754504690953,0.44701409252987945,9.237946505232516,8.841095614776187e-09,1.0,7.816497166961474e-17
Tego,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,27,F1_Tego_73.0_0.5,cy5,9.50238803183755,0.5157060227931128,0.9124815033444723,0.7040347490793044,1.4498889661811896,2.8587447783993443e-07,0.9999999999999842,8.172421708025516e-14
Tego,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,28,F1_Tego_77.0_0.25,cy5,67.73559240064635,4.039149382778483,1.1581143877883437,0.3869512302572895,1.262227220773258,7.852976144702102e-08,1.0,6.16692343292603e-15
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,29,F1_Tego_69.0_0.25,cy5,5.180347934552272,0.04824951305683267,0.3897466356723161,0.6500505902318396,4.817756608459361,8.067393085750018e-10,1.0,6.50828312000072e-19
Tego,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,30,F1_Tego_77.0_0.25,cy5,543.4398343650773,5.199509528629882,2.724518142876975,0.17318281310964034,9.506569293755593,9.177804291559885e-05,0.9999999999991908,8.423209161417505e-09
Tego,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,31,F1_Tego_77.0_0.25,cy5,567.1376145359499,4.234692243943068,3.094307276415547,0.26618442017426286,9.772458313519486,9.71863390348308e-07,0.9999999999999999,9.445184494993075e-13
Tego,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,32,F1_Tego_73.0_0.25,cy5,126.98365093441508,2.243315509616575,2.056371816593737,0.21015047936321524,8.185740671593196,3.5924776806868666e-12,1.0,1.290589588623329e-23
Tego,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,33,F1_Tego_69.0_0.5,cy5,5.433157054316378,0.04191928951821802,0.537938539019921,0.6648465493271023,3.6349779246830742,6.98433890261766e-10,1.0,4.878098990661846e-19
Tego,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,34,F1_Tego_73.0_0.25,cy5,97.56733412541666,1.6078865546974268,2.495539178291522,0.1727765858257293,4.7799247248633066,1.8702902976585626e-09,1.0,3.497985797515754e-18
Tego,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,35,F1_Tego_73.0_0.5,cy5,79.19307549496666,2.2019849770921227,1.9337809068235774,0.26069420908703655,6.76863979084848,3.4048251149997427e-09,1.0,1.1592834063733012e-17
Tego,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,36,F1_Tego_73.0_0.5,cy5,7.754535245137844,0.0015017377575610791,0.6291102847703911,0.7344602778690914,3.2099685019381603,4.659471548294007e-09,1.0,2.1710675109361354e-17
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,37,F1_Tego_69.0_0.25,cy5,2.7634396605335856,0.2249951536864084,0.2338229585498534,0.5654753518832472,3.4603529411236846,6.503307278924449e-11,1.0,4.229300556411173e-21
Tego,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,38,F1_Tego_69.0_0.5,cy5,10.91656311820098,0.1583031236059568,4.189095161447684,0.6262920427321939,0.6766302323845754,3.688357709950657e-09,1.0,1.3603982596552453e-17
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,39,F1_Tego_69.0_0.25,cy5,1.6948001081805746,0.3791006279635513,0.23707957219307607,0.6570214290870784,9.058114135061674,1.8568233553957165e-08,0.9999999999999973,3.447792973143007e-16
Tego,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,40,F1_Tego_73.0_0.25,cy5,116.83107960635068,2.1863867391239458,1.8642071802070226,0.18599314607466205,8.481565479646706,1.2624062318937905e-07,1.0,1.5936694943242788e-14
Tego,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,41,F1_Tego_69.0_0.5,cy5,3.066077823862157,0.06286711956519486,0.2883681760254498,0.6502037024424875,2.879438958574524,1.0430411247992425e-09,1.0,1.087934788022469e-18
Tego,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,42,F2_Tego_73.0_0.5,cy5,4.329598622657529,0.6259109880041163,4.326054108461527,0.5812557658700944,8.423178011024326,9.331335398568353e-11,1.0,8.707382032057481e-21
Tego,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,43,F2_Tego_73.0_0.5,cy5,3.168128904566933,0.11735543472501808,0.7673518600032114,0.8152500878965875,5.51172868265409,1.0902745319885889e-10,1.0,1.1886985551029366e-20
Tego,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,44,F2_Tego_73.0_0.5,cy5,3.407822441166813,0.5049745622335885,0.55437624044528,0.7116222469043649,3.6146527554011434,2.2313562171448063e-10,1.0,4.9789505677907804e-20
Tego,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,45,F3_Tego_73.0_0.5,cy5,3.6704969698047534,0.8205700938374539,3.535167063407732,0.5823650689690485,7.939096732967689,1.792339476487627e-08,0.9999999999999991,3.2124807989759416e-16
Tego,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,46,F3_Tego_73.0_0.5,cy5,5.36951960106046,1.067144204174785,0.44980797971177083,0.7575605606714368,8.152880020920025,9.58315507513393e-10,1.0,9.183686119406519e-19
Tego,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,47,F3_Tego_73.0_0.5,cy5,7.359103468371974,1.6647535949284986,0.40563370455516884,0.7332856610944035,7.730544134917359,4.2011334746240426e-08,0.9999999999999992,1.7649522471606681e-15
Triton,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,48,F1_Triton_73.0_0.5,cy5,32.08131786575106,2.4200103422627364,1.4801104179645106,0.3335911719806986,9.267917688953263,1.8014686419778506e-08,1.0,3.2452892680295207e-16
