Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,NMC_pct,C65_pct,KS6L_pct,PVDF_pct,Source_Batch,Solid_to_Liquid_Ratio,Binder_to_Active_Ratio,row_index,Composite_Mix_ID,model_name,k_consistency,n_flow,curve_rmse,curve_r2,curve_mse
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,0,F1_Hypermer_73.0_0.25,power_law,65.31598247817928,0.414141552797817,4.02220806429906,0.981488453545537,16.17815771251239
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,1,F1_Hypermer_73.0_0.25,power_law,9.056270121890183,0.6121994578553603,0.4287423194617469,0.9846638245498991,0.18381997649743864
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,2,F1_Hypermer_77.0_0.25,power_law,58.47801891352147,0.5448249418225244,1.8278847198534753,0.9937248517488394,3.341162549073818
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,3,F1_Hypermer_73.0_0.25,power_law,8.64178248771655,0.719870446622152,0.2363495234903597,0.9909775997471023,0.05586109725412009
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,4,F1_Hypermer_77.0_0.25,power_law,151.51009722418098,0.3440308156249941,7.005001778816598,0.9895640469887126,49.0700499212237
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,5,F1_Hypermer_69.0_0.5,power_law,4.782498166874745,0.7196682488176179,0.16449508548087313,0.9884358592356788,0.02705863314735976
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,6,F1_Hypermer_69.0_0.5,power_law,2.905262513932826,0.6945912216448723,0.11551469750709796,0.986132773565395,0.013343645340156344
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,7,F1_Hypermer_69.0_0.5,power_law,2.6820141401429973,0.6621782209064665,0.1413923353925446,0.9789514318407044,0.019991792507757816
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,8,F1_Hypermer_77.0_0.25,power_law,155.29454758138692,0.367787104159774,7.799066746728689,0.9876518621359004,60.82544211992922
Hypermer,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,9,F2_Hypermer_73.0_0.5,power_law,3.793540536243276,0.6182854707388125,0.2078129060949215,0.979773057644651,0.04318620393961667
Hypermer,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,10,F2_Hypermer_73.0_0.5,power_law,6.80125479525532,0.5502335691881219,0.043907794529677385,0.999688017751452,0.0019278944204603671
