Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,NMC_pct,C65_pct,KS6L_pct,PVDF_pct,Source_Batch,Solid_to_Liquid_Ratio,Binder_to_Active_Ratio,row_index,Composite_Mix_ID,model_name,eta_0,eta_inf,lambda_time,n_w,curve_rmse,curve_r2,curve_mse
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,0,F1_Hypermer_73.0_0.25,williamson,193.88667651310075,3.688343947451792,1.8168852662949828,0.982999047241267,1.6515103934888355e-13,1.0,2.7274865798016483e-26
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,1,F1_Hypermer_73.0_0.25,williamson,22.002863465873123,1.2772654348603325,1.6232008560019067,0.8043575076597479,2.3278610411057704e-09,1.0,5.418937026698042e-18
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,2,F1_Hypermer_77.0_0.25,williamson,150.7860669013284,5.028125757321565,1.8273306359446262,0.7785786005822086,1.6731261025690215e-07,1.0,2.799350955097804e-14
Hypermer,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,3,F1_Hypermer_73.0_0.25,williamson,13.16646967069874,0.5411533819778797,0.37603087623632464,0.5012946137877057,5.2256908783883546e-09,1.0,2.7307845156471254e-17
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,4,F1_Hypermer_77.0_0.25,williamson,553.0681484535489,5.143668767793513,2.6013616348062514,0.9483232732724183,1.8237917154264275e-10,1.0,3.3262162212580707e-20
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,5,F1_Hypermer_69.0_0.5,williamson,9.89978540586492,1.0908901577844434,1.4033088381163346,0.6917417016322852,2.101929871072191e-09,1.0,4.418109182905558e-18
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,6,F1_Hypermer_69.0_0.5,williamson,6.264295904178634,0.6018509293675772,1.4515912941829445,0.7303768480058663,5.2003462850925094e-11,1.0,2.704360148487546e-21
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,7,F1_Hypermer_69.0_0.5,williamson,6.0308762189023755,0.5095486402129572,1.4348235865520527,0.813068116911276,8.098363576295468e-07,0.9999999999993096,6.558349261386912e-13
Hypermer,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,8,F1_Hypermer_77.0_0.25,williamson,473.49241350490786,6.395359562361207,1.9240772876643086,0.9765799399688353,1.3863231719824388e-07,1.0,1.9218919371754505e-14
Hypermer,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,9,F2_Hypermer_73.0_0.5,williamson,8.944338520823397,0.5819978554936035,1.4782676344854415,0.8443043019427636,3.331553320706379e-09,1.0,1.1099247528709703e-17
